Cancer Site,Year,Sex,Age,Incidence and Survival Assumptions,Annual Cost Increase (applied to initial and last phases),Total Costs,Initial Year After Diagnosis Cost,Continuing Phase Cost,Last Year of Life Cost
Melanoma,2011,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,2575.5,585.1,1634.5,355.9
Melanoma,2011,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2448.5,498.9,1609.3,340.4
Melanoma,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,2578.3,585.1,1636.7,356.6
Melanoma,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,2596.7,596.8,1636.7,363.3
Melanoma,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,2624.4,614.4,1636.7,373.4
Ovary,2011,Females,All ages,"Incidence, Survival at constant rate",0%,5216.4,1409,1687.4,2119.9
Ovary,2011,Females,All ages,"Incidence follows recent trend, Survival constant",0%,4704.2,1045.9,1644,2014.3
Ovary,2011,Females,All ages,"Survival follows recent trend, Incidence constant",0%,5252.4,1409,1701.1,2142.3
Ovary,2011,Females,All ages,"Incidence, Survival follow recent trends",0%,4734.1,1045.9,1655.3,2032.8
Ovary,2011,Females,All ages,"Incidence, Survival follow recent trends",2%,4794,1066.8,1655.3,2071.8
Ovary,2011,Females,All ages,"Incidence, Survival follow recent trends",5%,4883.9,1098.2,1655.3,2130.4
Pancreas,2011,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2324,1466.3,105.1,752.6
Pancreas,2011,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,2307.8,1454.8,104.8,748.2
Pancreas,2011,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2393.9,1466.3,119.8,807.8
Pancreas,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,2377.2,1454.8,119.4,803
Pancreas,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,2421.6,1483.9,119.4,818.3
Pancreas,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,2488.2,1527.6,119.4,841.2
Prostate,2011,Males,All ages,"Incidence, Survival at constant rate",0%,12219.1,4670.2,6404.7,1144.2
Prostate,2011,Males,All ages,"Incidence follows recent trend, Survival constant",0%,11983.9,4482.7,6363.4,1137.8
Prostate,2011,Males,All ages,"Survival follows recent trend, Incidence constant",0%,12228.7,4670.2,6413,1145.4
Prostate,2011,Males,All ages,"Incidence, Survival follow recent trends",0%,11993.3,4482.7,6371.5,1139.1
Prostate,2011,Males,All ages,"Incidence, Survival follow recent trends",2%,12088.1,4572.4,6371.5,1144.2
Prostate,2011,Males,All ages,"Incidence, Survival follow recent trends",5%,12230.2,4706.9,6371.5,1151.8
Stomach,2011,Both sexes,All ages,"Incidence, Survival at constant rate",0%,1858.4,849.1,235.1,774.3
Stomach,2011,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,1708,747.2,229.2,731.7
Stomach,2011,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,1885.4,849.1,240.8,795.5
Stomach,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,1732.7,747.2,234.4,751.1
Stomach,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,1760.9,762.1,234.4,764.4
Stomach,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,1803.2,784.6,234.4,784.3
Uterus,2011,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2654.3,1082.3,797.9,774.1
Uterus,2011,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,2565.6,1016.6,787.5,761.5
Uterus,2011,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2653.8,1082.3,797.4,774.1
Uterus,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,2565.1,1016.6,787,761.5
Uterus,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,2598.4,1036.9,787,774.4
Uterus,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,2648.3,1067.4,787,793.9
Other,2011,Both sexes,All ages,"Incidence, Survival at constant rate",0%,20134.3,4066.9,11009.7,5057.7
Other,2011,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,21368.7,4455.6,11348.2,5564.9
Other,2011,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,20744.2,4066.9,11510,5167.3
Other,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,21979.9,4455.6,11841.4,5682.9
Other,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,22148.7,4544.7,11841.4,5762.6
Other,2011,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,22401.9,4678.4,11841.4,5882.1
AllSites,2012,Both sexes,All ages,"Incidence, Survival at constant rate",0%,130982.2,41955.3,49513.1,39513.8
AllSites,2012,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,127613.2,39300.3,49282.9,39030
AllSites,2012,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,132581.6,41955.3,50490.4,40135.9
AllSites,2012,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,129196.4,39300.3,50236.6,39659.4
AllSites,2012,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,132134.5,40888.1,50236.6,41009.8
AllSites,2012,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,136650.9,43328.6,50236.6,43085.6
Bladder,2012,Both sexes,All ages,"Incidence, Survival at constant rate",0%,4122.2,1016.5,1961.8,1143.9
Bladder,2012,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,3978.6,940,1921.7,1116.9
Bladder,2012,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,4136.6,1016.5,1970.9,1149.2
Bladder,2012,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,3992.3,940,1930.3,1121.9
Bladder,2012,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,4064.2,978,1930.3,1155.9
Bladder,2012,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,4174.8,1036.4,1930.3,1208.1
Brain,2012,Both sexes,All ages,"Incidence, Survival at constant rate",0%,4683.1,1299.6,1122.3,2261.2
Brain,2012,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,4630.8,1264.7,1119.1,2246.9
Brain,2012,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,4742.9,1299.6,1137.3,2306
Brain,2012,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,4689.6,1264.7,1133.9,2291
Brain,2012,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,4829.2,1315.8,1133.9,2379.5
Brain,2012,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,5043.8,1394.3,1133.9,2515.6
Breast,2012,Females,All ages,"Incidence, Survival at constant rate",0%,17316.1,6213.9,7176.2,3926
Breast,2012,Females,All ages,"Incidence follows recent trend, Survival constant",0%,16566.9,5731.4,7015.5,3820
Breast,2012,Females,All ages,"Survival follows recent trend, Incidence constant",0%,17345.3,6213.9,7194.7,3936.7
